,Job_Title,Company_Name,data_time,seniority_level,employment_type,job_link
39,Senior Data Scientist,e& global services,2024-06-19,Not Applicable,Full-time,https://eg.linkedin.com/jobs/view/senior-data-scientist-at-e-global-services-3976650826?position=40&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=3TGng7M3hMFZ96dapczwDg%3D%3D&trk=public_jobs_jserp-result_search-card
40,Senior Data Scientist (m/f/d),sonnen GmbH,2024-07-26,Mid-Senior level,Full-time,https://eg.linkedin.com/jobs/view/senior-data-scientist-m-f-d-at-sonnen-gmbh-3994747218?position=41&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=0N17oMVqME7YCtScTSoYIQ%3D%3D&trk=public_jobs_jserp-result_search-card
41,Senior Data Scientist,b_labs,2024-06-09,Mid-Senior level,Full-time,https://eg.linkedin.com/jobs/view/senior-data-scientist-at-b-labs-3924219116?position=42&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=huJSwaucuX%2F5bwY%2FkNq95A%3D%3D&trk=public_jobs_jserp-result_search-card
42,Software Engineer for AI Training Data (Python),G2i Inc.,2024-07-08,Mid-Senior level,Contract,https://eg.linkedin.com/jobs/view/software-engineer-for-ai-training-data-python-at-g2i-inc-3984111599?position=43&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=vV5kQb649p7u7gWqlaDHOw%3D%3D&trk=public_jobs_jserp-result_search-card
43,Senior Data Scientist - Jumia (Full Time),Jumia Group,2024-04-29,Mid-Senior level,Full-time,https://eg.linkedin.com/jobs/view/senior-data-scientist-jumia-full-time-at-jumia-group-3982643293?position=44&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=Zy9Dri5HdCM3CI1JfhXycw%3D%3D&trk=public_jobs_jserp-result_search-card
44,NLP Engineer,Rekrut by Talent 360,2024-05-14,Mid-Senior level,Full-time,https://eg.linkedin.com/jobs/view/nlp-engineer-at-rekrut-by-talent-360-3953544040?position=45&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=lDT47BTOb3qODv0JAd8Lwg%3D%3D&trk=public_jobs_jserp-result_search-card
45,Application Engineer,CES - MATLAB® in the Middle East,2024-08-08,Mid-Senior level,Full-time,https://eg.linkedin.com/jobs/view/application-engineer-at-ces-matlab%C2%AE-in-the-middle-east-3984913859?position=46&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=oTikKK10sS%2Fic2JFZvVBXw%3D%3D&trk=public_jobs_jserp-result_search-card
46,Junior Software Developer,dubizzle,2024-07-23,Entry level,Full-time,https://eg.linkedin.com/jobs/view/junior-software-developer-at-dubizzle-3964494574?position=47&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=MxsdnyLgViuGxY1s0AT0kg%3D%3D&trk=public_jobs_jserp-result_search-card
47,Gen-D Graduate Program - Data Graduate,Dsquares,2024-05-13,No job type available,No job type available,https://eg.linkedin.com/jobs/view/gen-d-graduate-program-data-graduate-at-dsquares-3969084339?position=48&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=ipGWbcjQWAlRghPKop8Oeg%3D%3D&trk=public_jobs_jserp-result_search-card
48,Senior AI Engineer,PaxeraHealth,2024-07-29,Mid-Senior level,Full-time,https://eg.linkedin.com/jobs/view/senior-ai-engineer-at-paxerahealth-3913560240?position=49&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=ySuI0tiRdCUnEuUbqQA7mA%3D%3D&trk=public_jobs_jserp-result_search-card
